"점포명",시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자
5시5할인마트,대전광역시,대덕구,30230,대전광역시 대덕구 중리남로 44,,36.36101241,127.426735,,중리지구대,,Y,2023-04-19
CU 대전중리타운점,대전광역시,대덕구,30230,대전광역시 대덕구 계족로511번길38,,36.35740476,127.4305793,,중리지구대,,Y,2023-04-19
CU 신탄진상서점,대전광역시,대덕구,30230,대전광역시 대덕구 벚꽃길 76,대전광역시 대덕구 상서동 175-10,36.43334814,127.4255026,,신탄진지구대,,Y,2023-04-19
CU 송촌타운점,대전광역시,대덕구,30230,대전광역시 대덕구 송촌남로20,,36.35347411,127.4418634,,송촌지구대,,Y,2023-04-19
CU 한남대원룸점1호,대전광역시,대덕구,30230,대전광역시 대덕구 한남로17번길 16,,36.35055862,127.425735,,중리지구대,,Y,2023-04-19
CU 한남대원룸점2호,대전광역시,대덕구,30230,대전광역시 대덕구 한남로17번길 42,,36.34953316,127.425261,,중리지구대,,Y,2023-04-19
CU 신탄진 IC점,대전광역시,대덕구,30230,대전광역시 대덕구 덕암로 203,,36.438614,127.4231093,,신탄진지구대,,Y,2023-04-19
CU 신탄진 타운점,대전광역시,대덕구,30230,대전광역시 대덕구 신탄진로 790번길 38,,36.4482558,127.4319392,,신탄진지구대,,Y,2023-04-19
CU 대전비래점,대전광역시,대덕구,30230,대전광역시 대덕구 비래서로26번길1,,36.354473,127.447425,,송촌지구대,,Y,2023-04-19
DQ24시,대전광역시,대덕구,30230,대전광역시 대덕구 한남로 36,대전광역시 대덕구 오정동 175-50,36.3511729,127.424362,,중리지구대,,Y,2023-04-19
GS25시 대전덕암점,대전광역시,대덕구,30230,대전광역시 대덕구 덕암로125번안길81,,36.43586495,127.4211936,,신탄진지구대,,Y,2023-04-19
GS25시 대전목상점,대전광역시,대덕구,30230,대전광역시 대덕구 대덕대로 1448번길 79,,36.44441248,127.410595,,신탄진지구대,,Y,2023-04-19
