"점포명",시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자
"대동하늘공원",대전광역시,동구,30110,대전광역시 동구 대동1-641,대전광역시 동구 대동1-641,36.33171504,127.4515649,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 가양큰솔점,대전광역시,동구,30110,대전광역시 동구 우암로 312번길 16,대전광역시 동구 가양동 171-30,36.34665194,127.4502795,042-251-4514,동부서상황실,2017,Y,2023-07-21
"세븐일레븐 대전가양보건점",대전광역시,동구,30110,대전광역시 동구 우암로 326번길 14,대전광역시 동구 가양동 161-5,36.34780344,127.4517866,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 우송대서문점,대전광역시,동구,30110,대전광역시 동구 가양남로 32,대전광역시 동구 가양동 356-1,36.33872154,127.4445536,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 보건대학사점,대전광역시,동구,30110,대전광역시 동구 충정로 32 캠퍼스당구장,대전광역시 동구 가양동 147-7,36.34827582,127.4545797,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 가오은어송점,대전광역시,동구,30110,대전광역시 동구 은어송로 116 은어송마을4단지아파트,대전광역시 동구 가오동 555,36.31027658,127.4620485,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 가오중앙점,대전광역시,동구,30110,대전광역시 동구 은어송로52번길 5-4 가오동 굿모닝타운,대전광역시 동구 가오동 654,36.30567944,127.4559001,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 대전낭월점,대전광역시,동구,30110,대전광역시 동구 산내로 1305번길 1,대전광역시 동구 낭월동 592,36.27986783,127.4680672,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 낭월제일점,대전광역시,동구,30110,대전광역시 동구 산내로 1375 오투그란데 아파트,대전광역시 동구 낭월동 304,36.28752015,127.4641525,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 대전삼성점,대전광역시,동구,30110,대전광역시 동구 대전천북로 88,대전광역시 동구 삼성동 330-13,36.33909905,127.4196203,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 대전성남점,대전광역시,동구,30110,대전광역시 동구 계족로 392번길 52,대전광역시 동구 성남동 497-1,36.34757386,127.4353442,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 성남스마트점,대전광역시,동구,30110,대전광역시 동구 성남로 15 휴먼시아 1층,대전광역시 동구 성남동 528,36.34304284,127.4339175,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 대전인동점,대전광역시,동구,30110,대전광역시 동구 인창로 59,대전광역시 동구 인동 72-11,36.32402678,127.4359147,042-251-4514,동부서상황실,2017,Y,2023-07-21
"미니스톱 대전대정문점",대전광역시,동구,30110,대전광역시 동구 새울로 123번길 38-29,대전광역시 동구 용운동 180-1,36.33084765,127.4610164,042-251-4514,동부서상황실,2017,Y,2023-07-21
GS25 대전대학로,대전광역시,동구,30110,대전광역시 동구 대학로 33 혜성빌딩,대전광역시 동구 용운동 717,36.33301033,127.4549643,042-251-4514,동부서상황실,2017,Y,2023-07-21
