"점포명",시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자
"세븐일레븐 대전복수점",대전광역시,서구,36600,대전광역시 서구 오량2길 3,,36.31009395,127.3750333,042-581-0080,서부경찰서,2016,Y,2023-11-09
CU 배재원룸점,대전광역시,서구,36600,대전광역시 서구 도마로 10,,36.32241475,127.3712359,,서부경찰서,2016,Y,2023-11-09
"세븐일레븐 대전도마2호점",대전광역시,서구,36600,대전광역시 서구 배재로 91,,36.3167381,127.3710596,042-524-6711,서부경찰서,2016,Y,2023-11-09
GS25 도마양지점,대전광역시,서구,36600,대전광역시 서구 배재로91번길 72,,36.31810384,127.368797,042-524-0180,서부경찰서,2016,Y,2023-11-09
"세븐일레븐 대전정림제일점",대전광역시,서구,36600,대전광역시 서구 정림로 10,,36.30131572,127.3667613,042-587-7257,서부경찰서,2016,Y,2023-11-09
"이마트24 대전변동행복점",대전광역시,서구,36600,대전광역시 서구 도산로167번길 26,,36.3236246,127.3767456,042-526-8006,서부경찰서,2016,Y,2023-11-09
GS25 변동스타점,대전광역시,서구,36600,대전광역시 서구 배재로233번길 44,,36.33038466,127.3688766,042-523-3105,서부경찰서,2022,Y,2023-11-09
"세븐일레븐 대전용문스타점",대전광역시,서구,36600,대전광역시 서구 괴정로163,,36.3344446,127.389438,,서부경찰서,2022,Y,2023-11-09
"세븐일레븐 대전용문무지개점",대전광역시,서구,36600,대전광역시 서구 도산로370번길 20,,36.33667536,127.3927344,042-342-1700,서부경찰서,2022,Y,2023-11-09
GS25 대전시네마점,대전광역시,서구,36600,대전광역시 서구 용문로 41-88,,36.3399146,127.3893129,042-528-1125,서부경찰서,2022,Y,2023-11-09
CU 괴정원룸점,대전광역시,서구,36600,대전광역시 서구 괴정로 115번길 23,,36.3383328,127.3864791,,서부경찰서,2022,Y,2023-11-09
CU 대전괴정점,대전광역시,서구,36600,대전광역시 서구 도솔로 373,,36.34021036,127.3872311,,서부경찰서,2017,Y,2023-11-09
CU 괴정초코점,대전광역시,서구,36600,대전광역시 서구 도솔로 349,,36.33872455,127.385379,,서부경찰서,2017,Y,2023-11-09
GS25 뉴괴정한신점,대전광역시,서구,36600,대전광역시 서구 계룡로562번길 44,,36.34122401,127.3837907,042-535-3319,서부경찰서,2017,N,2023-11-09
"이마트24 대전괴정원룸점",대전광역시,서구,36600,대전광역시 서구 계룡로576번길 28,,36.34113689,127.3864412,042-536-9002,서부경찰서,2022,Y,2023-11-09
GS25괴정중앙점,대전광역시,서구,36600,대전광역시 서구 도산로341번길 49,,36.33730825,127.3878278,042-533-7874,서부경찰서,2022,Y,2023-11-09
CU 대전가장점,대전광역시,서구,36600,대전광역시 서구 가장로 129,,36.3325375,127.3874931,042-524-1213,서부경찰서,2023,Y,2023-11-09
GS25내동빌리지점,대전광역시,서구,36600,대전광역시 서구 동서대로997번길 98,,36.33658708,127.3768858,042-524-1456,서부경찰서,2022,Y,2023-11-09
"이마트24 대전가수원하나점",대전광역시,서구,36600,대전광역시 서구 계백로 1158번길 100,,36.3005096783,127.3539472,042-526-8456,서부경찰서,2023,Y,2023-11-09
GS25 도안중앙점,대전광역시,서구,36600,대전광역시 서구 도안동로31번길 12-3,,36.3077743,127.3513848,042-542-2628,서부경찰서,2022,Y,2023-11-09
"이마트24 대전 도안공원점",대전광역시,서구,36600,대전광역시 서구 원도안로 242번길 15-3,,36.324656,127.3464151,042-543-4928,서부경찰서,2023,Y,2023-11-09
GS25 관저스타점,대전광역시,서구,36600,대전광역시 서구 관저북로51번길 15-4,,36.30623611,127.3361081,,서부경찰서,2016,Y,2023-11-09
"씨스페이스 로또명당점",대전광역시,서구,36600,대전광역시 서구 관저로129번길 3,,36.29911924,127.3361235,042-541-1999,서부경찰서,2022,Y,2023-11-09
"미니스톱 대전기성점",대전광역시,서구,36600,대전광역시 서구 벌곡로 657,,36.2549355,127.3412381,042-587-8849,서부경찰서,2016,Y,2023-11-09
CU 대전탄방남선점,대전광역시,서구,36600,대전광역시 서구 남선로 59 스마트빌,,36.348365,127.3978938,042-489-3431,둔산경찰서,2016,Y,2023-11-09
