연도,항목,일,월,화,수,목,금,토
2017,강력범,103,114,119,105,124,121,115
2017,절도범,909,900,835,824,864,954,928
2017,폭력범,1369,1107,1193,1207,1206,1283,1435
2017,지능범,726,1399,1319,1410,1374,1421,843
2017,풍속범,17,37,39,20,28,24,30
2017,기타형법범,285,396,364,456,436,429,299
2017,특별법범,2173,2963,3055,3005,2966,3165,2490
2018,강력범,153,112,103,128,111,112,128
2018,절도범,794,773,739,804,760,802,868
2018,폭력범,1431,1250,1264,1217,1247,1307,1486
2018,지능범,798,1630,1670,1660,1606,1633,868
2018,풍속범,31,25,28,24,38,17,42
2018,기타형법범,329,456,440,456,414,468,349
2018,특별법범,1743,2492,2699,2514,2589,2710,2209
2019,강력범,116,103,122,91,99,125,150
2019,절도범,770,882,743,804,835,918,903
2019,폭력범,1221,1086,1131,1075,1076,1251,1367
2019,지능범,894,1832,1835,1839,1818,1815,908
2019,풍속범,19,29,21,24,25,31,20
2019,기타형법범,312,430,391,419,471,428,339
2019,특별법범,1819,2522,2458,2401,2423,2630,2146
2020,강력범,110,94,93,103,98,119,114
2020,절도범,701,725,714,720,729,826,842
2020,폭력범,1246,1078,1124,1141,1112,1232,1330
2020,지능범,905,2172,2171,2037,1933,2024,1055
2020,풍속범,25,38,25,23,30,31,14
2020,기타형법범,295,449,455,449,445,412,363
2020,특별법범,1667,2266,2206,2134,2362,2406,1977
2021,강력범,89,107,106,90,100,93,131
2021,절도범,654,748,737,711,718,745,731
2021,폭력범,1036,981,980,939,966,1024,1204
2021,지능범,832,1961,1799,1798,1834,1684,986
2021,풍속범,29,28,24,43,32,38,34
2021,기타형법범,272,387,388,400,392,371,271
2021,특별법범,1429,2037,2063,1960,2046,2225,1729
2022,강력범,119,92,99,140,115,126,125
2022,절도범,784,836,811,865,878,910,949
2022,폭력범,1215,1034,1074,1026,1061,1107,1241
2022,지능범,1108,2529,2308,2334,2338,2284,1223
2022,풍속범,37,36,38,30,41,36,18
2022,기타형법범,277,447,380,424,421,407,298
2022,특별법범,1313,1797,1802,1792,1924,1979,1508
