연도별,관서명,구분,계,살인,강도,강간강제추행,절도,폭력
2019년,대전중부경찰서,발생건수,2927,5,6,141,1221,1554
2019년,대전중부경찰서,검거건수,2254,5,6,118,677,1448
2019년,대전동부경찰서,발생건수,2516,3,8,83,1176,1246
2019년,대전동부경찰서,검거건수,1999,3,8,74,796,1118
2019년,대전서부경찰서,발생건수,2393,1,4,104,815,1469
2019년,대전서부경찰서,검거건수,1909,1,4,93,512,1299
2019년,대전대덕경찰서,발생건수,1822,0,1,60,646,1115
2019년,대전대덕경찰서,검거건수,1486,0,1,44,435,1006
2019년,대전둔산경찰서,발생건수,2649,3,4,188,974,1480
2019년,대전둔산경찰서,검거건수,1964,2,4,154,514,1290
2019년,대전유성경찰서,발생건수,2514,6,2,137,1024,1345
2019년,대전유성경찰서,검거건수,2277,6,1,123,906,1241
2020년,대전중부경찰서,발생건수,2765,2,3,127,1028,1605
2020년,대전중부경찰서,검거건수,2311,2,3,110,696,1500
2020년,대전동부경찰서,발생건수,2486,1,4,91,1035,1355
2020년,대전동부경찰서,검거건수,1904,1,5,73,659,1166
2020년,대전서부경찰서,발생건수,2320,6,2,102,777,1433
2020년,대전서부경찰서,검거건수,1989,5,2,97,538,1347
2020년,대전대덕경찰서,발생건수,1827,0,1,63,637,1126
2020년,대전대덕경찰서,검거건수,1504,1,0,48,468,987
2020년,대전둔산경찰서,발생건수,2502,5,2,162,857,1476
2020년,대전둔산경찰서,검거건수,2017,5,2,150,567,1293
2020년,대전유성경찰서,발생건수,2314,4,2,117,923,1268
2020년,대전유성경찰서,검거건수,1853,3,2,112,596,1140
2021년,대전중부경찰서,발생건수,2290,4,4,140,888,1254
2021년,대전중부경찰서,검거건수,1919,4,4,127,651,1133
2021년,대전동부경찰서,발생건수,2031,6,1,84,890,1050
2021년,대전동부경찰서,검거건수,1607,6,1,69,615,916
2021년,대전서부경찰서,발생건수,2076,4,0,100,772,1200
2021년,대전서부경찰서,검거건수,1606,4,0,87,464,1051
2021년,대전대덕경찰서,발생건수,1663,0,2,74,572,1015
2021년,대전대덕경찰서,검거건수,1388,0,2,57,430,899
2021년,대전둔산경찰서,발생건수,2210,2,1,130,820,1257
2021년,대전둔산경찰서,검거건수,1709,2,1,110,500,1096
2021년,대전유성경찰서,발생건수,2581,2,1,122,1102,1354
2021년,대전유성경찰서,검거건수,1957,2,1,113,673,1168
2022년,대전중부경찰서,발생건수,2602,8,3,146,1046,1399
2022년,대전중부경찰서,검거건수,2207,8,2,127,763,1307
2022년,대전동부경찰서,발생건수,2608,2,7,122,1252,1225
2022년,대전동부경찰서,검거건수,1941,2,7,92,786,1054
2022년,대전서부경찰서,발생건수,2408,1,2,100,1024,1281
2022년,대전서부경찰서,검거건수,1821,1,3,85,602,1130
2022년,대전대덕경찰서,발생건수,1581,3,1,86,551,940
2022년,대전대덕경찰서,검거건수,1282,3,1,70,373,835
2022년,대전둔산경찰서,발생건수,2329,0,2,158,847,1322
2022년,대전둔산경찰서,검거건수,1815,0,1,147,508,1159
2022년,대전유성경찰서,발생건수,3039,3,2,130,1313,1591
2022년,대전유성경찰서,검거건수,2185,3,2,106,710,1364
