"점포명",시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자
GS25 문창사랑점,대전광역시,중구,30140,대전광역시 중구 문창로 108,대전광역시 중구 문창동 33-27,36.32254596,127.4317303,042-252-1422,남대전지구대,2017,Y,2023-11-30
GS25 보문오거리점,대전광역시,중구,30140,대전광역시 중구 충무로 84,대전광역시 중구 대사동 95-2,36.31713813,127.4264966,042-226-4778,남대전지구대,2017,Y,2023-11-30
GS25 문창중앙점,대전광역시,중구,30140,대전광역시 중구 대종로386번길 99,대전광역시 중구 문창동 10-19,36.32276997,127.4341267,042-222-3233,남대전지구대,2017,Y,2023-11-30
"세븐일레븐대전으능정이점",대전광역시,중구,30140,대전광역시 중구 대흥로165번길 41,대전광역시 중구 대흥동 144,36.32666867,127.4290253,042-255-1711,남대전지구대,2020,Y,2023-11-30
"세븐일레븐 서대전역사거리점",대전광역시,중구,30140,대전광역시 중구 오류로 8,대전광역시 중구 오류동 167-22,36.32128845,127.4055112,042-522-5868,서대전지구대,2017,Y,2023-11-30
CU 태평점,대전광역시,중구,30140,대전광역시 중구 동서대로 1193,대전광역시 중구 태평동 410-9,36.32667366,127.392788,042-524-9613,서대전지구대,2017,Y,2023-11-30
"세븐일레븐대전문화우리점",대전광역시,중구,30140,대전광역시 중구 과례로 38,대전광역시 중구 문화동 238-8,36.31157525,127.411215,042-582-2525,서대전지구대,2020,Y,2023-11-30
GS25 용두드림점,대전광역시,중구,30140,"대전광역시 중구 중앙로23-17, 1층",대전광역시 중구 용두동 12-1,36.32359506,127.4145889,042-222-9775,서대전지구대,2020,Y,2023-11-30
"세븐일레븐 대전용두중앙점",대전광역시,중구,30140,대전광역시 중구 계룡로771번길 8,대전광역시 중구 용두동 120-1,36.33021197,127.4038177,,서대전지구대,2020,Y,2023-11-30
GS25 유천중앙점,대전광역시,중구,30140,대전광역시 중구 유천로 47,대전광역시 중구 유천동 215-44,36.3168012,127.3978176,042-584-1888,유등지구대,2017,Y,2023-11-30
GS25 동서대로점,대전광역시,중구,30140,대전광역시 중구 동서대로 1191,대전광역시 중구 태평동 411-7,36.32678485,127.3925464,042-527-7833,유등지구대,2020,Y,2023-11-30
"이마트편의점 대전선화점",대전광역시,중구,30140,대전광역시 중구 중앙로79번길 15,대전광역시 중구 선화동 375-1,36.32595185,127.4197435,042-320-4080,선화지구대,2017,Y,2023-11-30
CU 선화타운점,대전광역시,중구,30140,대전광역시 중구 선화서로 34-10,대전광역시 중구 선화동 372-2,36.32678285,127.4192232,042-251-7060,선화지구대,2017,Y,2023-11-30
"씨스페이스 대전선화호수점",대전광역시,중구,30140,대전광역시 중구 선화로 60,대전광역시 중구 선화동 419-19,36.32735948,127.4147885,042-256-8984,선화지구대,2017,Y,2023-11-30
GS선화드림점,대전광역시,중구,30140,대전광역시 중구 대종로593번길 37-1,대전광역시 중구 선화동 146-11,36.33356264,127.4169651,042-223-7797,선화지구대,2020,Y,2023-11-30
"세븐일레븐대전선화수정점",대전광역시,중구,30140,대전광역시 중구 선화서로 25,대전광역시 중구 선화동 399,36.32609565,127.4188513,042-252-0752,선화지구대,2020,Y,2023-11-30
CU 목동스타점,대전광역시,중구,30140,대전광역시 중구 어덕마을로 84-18,대전광역시 중구 목동 57-15,36.3378801,127.4057278,042-252-5558,중촌지구대,2017,Y,2023-11-30
CU 대전대흥사랑점,대전광역시,중구,30140,대전광역시 중구 대종로 426,대전광역시 중구 대흥동 407-8,36.32299916,127.4294055,,남대전지구대,2022,Y,2023-11-30
"이마트24 대전부사점",대전광역시,중구,30140,대전광역시 중구 보문로 89,대전광역시 중구 부사동 142-8,36.31330728,127.4311501,,남대전지구대,2022,Y,2023-11-30
"이마트24 대전부사신일점",대전광역시,중구,30140,대전광역시 중구 대종로 295번길 15,대전광역시 중구 부사동 155-7,36.31200489,127.4354541,,남대전지구대,2022,Y,2023-11-30
"미니스톱 대전세이점",대전광역시,중구,30140,대전광역시 중구 계백로 1709,대전광역시 중구 오류동 157,36.32189113,127.4090388,,서대전지구대,2022,Y,2023-11-30
CU 유천현대점,대전광역시,중구,30140,대전광역시 중구 수침로 41,대전광역시 중구 유천동 190-1,36.32284487,127.3996814,042-536-6484,유등지구대,2022,Y,2023-11-30
GS25 문화삼거리점,대전광역시,중구,30140,대전광역시 중구 천근로 8,대전광역시 중구 문화동 462-1,36.31067617,127.4014494,042-585-3971,문화지구대,2022,Y,2023-11-30
GS25 문화주공점,대전광역시,중구,30140,대전광역시 중구 송리로 40,대전광역시 중구 문화동 462-24,36.30933581,127.4014339,042-586-0025,문화지구대,2022,Y,2023-11-30
CU 산성타운점,대전광역시,중구,30140,대전광역시 중구 대둔산로 373,대전광역시 중구 산성동 125-11,36.30269926,127.3859672,042-583-4568,문화지구대,2022,Y,2023-11-30
"세븐일레븐 선화드림점",대전광역시,중구,30140,대전광역시 중구 대종로 605,대전광역시 중구 선화동 161-2,36.3354935,127.4168877,042-221-5815,선화파출소,2022,Y,2023-11-30
CU 대전선화원룸점,대전광역시,중구,30140,대전광역시 중구 선화서로 52,대전광역시 중구 선화동 367-12,36.32828306,127.418034,,선화파출소,2022,Y,2023-11-30
